,TCGA-A2-A3XY,TCGA-A7-A26G,TCGA-A8-A09X,TCGA-AC-A2QJ,TCGA-AO-A03U,TCGA-AR-A1AR,TCGA-BH-A0BL,TCGA-BH-A0RX,TCGA-C8-A26X,TCGA-D8-A27M
A1BG,0.079887776,0.124843922,0.040842784,0.406610585,0.027604981,0.056856904,0.131186977,0.046315548,0.076663905,0.049089287
A1BG-AS1,0.696312322,0.789507877,0.709478664,1.076679834,0.312351288,0.566556916,0.854354854,0.361676581,0.914034535,0.432510988
A1CF,0.002563545,0.002367275,0.011358686,0,0,0.012483421,0.005916338,0,0.007995304,0.0117018
A2M,501.3721401,153.3708074,165.0229472,332.0127323,160.4718491,97.13446636,646.5308112,275.3489019,137.0149794,120.832443
A2M-AS1,0.679458208,1.011159659,0.232220876,0.26947695,0.241037045,0.399229716,1.062681802,0.714773243,0.236431378,0.378077726
A2ML1,1.57589849,0.124512903,5.414292793,0.838248989,0.191804786,0.25443154,1.159164052,0.155258946,0.36271013,21.58817785
A2MP1,0.253736488,0.046373838,0.035133389,0.019218169,0.034299912,0.05663136,0.07014901,0.035414327,0.020608466,0.051275784
A3GALT2,0.072192743,0.033332761,0.159937629,0,0.02402206,0.058591541,0.097190172,0.08060827,0.018763172,0.109845933
A4GALT,11.1001433,2.425465239,1.914940167,4.835318648,8.421152351,1.975568197,6.192076877,5.001533634,3.730677143,14.27564635
A4GNT,0.006950233,0.012836219,0.030795444,0.030321517,0.034690242,0.040613764,0.104261684,0.011640635,0,0.015862844
AA06,0,0,0,0,0,0,0,0,0,0
AAAS,8.757199596,5.323398275,13.72035268,10.54608938,5.291430566,5.139296556,5.100682235,6.367011166,9.537060191,6.099963278
AACS,2.211067616,5.226994948,10.00249506,1.028788186,4.599905849,1.76011188,2.166643433,2.405618943,10.64332844,3.497236281
AACSP1,0.025491728,0,0.354985826,0.037070596,0.003635291,0.234081874,0.084045263,0.012198559,0,0.008311567
AADAC,0.110691212,0.061329883,0.337869839,0.042925185,0.014732954,0.539021101,0.229915189,0.086516161,0.448797532,0.050527154
AADACL2,0,0.004482931,0,0.007059674,0,0,0,0,0.007570391,0.002769976
