,TCGA-AC-A6IW,TCGA-AO-A128,TCGA-B6-A3ZX,TCGA-C8-A12V,TCGA-E2-A1LH,TCGA-EW-A1OV,TCGA-EW-A1PB,TCGA-EW-A6SB,TCGA-LL-A5YO,TCGA-S3-AA10
A1BG,0.23084652,0.244617585,0.255386698,0.15163513,0.160919544,0.164925879,0.086798966,0.10076426,0.297306738,0.086438917
A1BG-AS1,1.482323434,1.75901634,1.258421695,1.826918285,0.780347165,1.375513018,0.871470321,0.609074624,1.070805739,0.824097982
A1CF,0.008889253,0.005515945,0.010310076,0,0.006393277,0.053511651,0.003148623,0,0.016536649,0.006363348
A2M,91.09093991,78.97941879,69.659992,96.68076937,192.0938576,113.0171216,27.40632072,249.3799269,98.32638164,90.94614057
A2M-AS1,0.279092925,0.151031091,0.775379302,0.535768235,0.798242322,0.379554684,0.441404834,0.723455078,0.374303878,0.334528631
A2ML1,1.940345013,16.58428667,14.96028325,1.125678186,20.43265322,0.398732512,1.047482744,20.0997764,1.909908216,20.28540252
A2MP1,0.094705756,0.082462911,0.120473134,0.108698434,0.085691463,0.02101792,0.022724245,0.043339234,0.056832524,0.05686021
A3GALT2,0.027814758,0.220059533,0.209693635,0.079172412,0.030007154,0.023919955,0.014778217,0.028184725,0.025871854,0.019911121
A4GALT,4.650565131,9.84068705,6.733956,8.256205636,15.80239141,4.28206204,10.16607228,6.240776075,4.685442835,14.89441148
A4GNT,0.03213382,0.014954722,0,0,0,0.027634233,0.008536485,0.016280617,0,0.06900873
AA06,0,0,0,0,0,0,0,0,0,0
AAAS,10.16330279,6.384388601,8.434074141,6.840789116,8.508899134,10.42552213,7.759999388,8.368390751,9.971461373,8.530596875
AACS,2.209139699,1.917162051,4.899937749,4.457554613,2.168687177,3.284170853,3.934993545,2.801961615,4.634257636,1.797197022
AACSP1,0.00841849,0,0,0,0.018164094,0.007239679,0.022364076,0.486236532,0.015660891,0
AADAC,0.204708613,0.658944665,0.019785703,0,0.11042201,0.088021992,0.063445329,0.017285955,0.04760235,0.03663503
AADACL2,0.00561122,0.007834198,0.003254048,0,0,0.009651001,0.005962578,0.005685856,0.005219268,0
AADACL3,0,0.726059308,0,0,0,0,0.00746758,0,0,0
AADACL4,0,0.008407877,0.010477001,0.012856092,0,0,0,0,0.016804385,0
AADACP1,0.275776688,0.506791881,0.016402859,0.080510315,0,0.012162084,1.187207883,0.014330504,0.039463578,0.020247591
AADAT,2.925630127,0.257651644,4.588915742,1.032454994,0.288334426,4.917007092,0.035500439,0.831813386,6.188337403,4.762578477
AAGAB,12.27856469,16.96326992,9.31613914,12.4247602,6.591154015,15.8005561,30.23623114,14.90167495,16.57202596,13.78486431
AAK1,1.375236418,2.266152167,3.199184191,2.919576587,1.272986914,2.779940914,1.685482895,1.205444961,1.27917402,2.188933731
AAMDC,6.106806667,4.859410962,9.435366787,4.220576146,7.188512627,11.13308315,30.77310709,9.957243995,3.596121104,4.686040798
AAMP,57.76987898,37.74507451,48.57366061,38.89745636,87.90773576,48.57395511,47.18874226,87.96811598,37.1801033,57.13720615
AANAT,0.123432751,0.169309301,0.226044877,0.120195651,0.182221527,0.05586784,0.062129242,0.013165741,0.108768109,0.251125603
AAR2,26.66978274,16.214581,25.74433196,33.745064,16.00695403,19.41984842,20.26149252,21.98967489,22.37012635,20.218
AARD,409.2103539,4.864333227,10.33724215,7.723249079,45.81689367,0.202903099,78.91881971,15.94659468,65.55277743,99.47236903
AARS1,38.23454455,48.5594142,40.23332463,41.38351031,33.05182631,22.78364527,51.77063898,79.75541435,33.05715439,31.17854444
AARS2,9.245394466,4.646242041,6.066080996,6.995996119,4.092499686,7.782839811,4.808390876,7.352475275,7.549657356,6.350526463
AARSD1,1.336685346,0.725758214,1.394411284,0.973057584,1.591221707,1.32128044,0.857128582,0.747290885,0.900332131,1.803741131
AASDH,1.760828365,2.623441848,3.595250084,3.015062874,1.088323506,2.555323439,3.67395546,1.778054004,3.844355128,4.770583062
AASDHPPT,5.080667147,5.819119713,6.984285842,5.419862503,4.781096226,8.611833662,5.061377847,8.986113463,4.879876008,6.124229909
AASS,0.130155618,0.53650349,1.567100054,1.861206993,0.254083666,0.543661861,0.243681235,0.144447481,0.495786093,0.443674073
AATBC,0.691805073,0.472749005,0.738054611,0.477751251,0.919533964,0.120492969,2.078198078,0.343108833,0.781952099,0.359405128
AATF,20.00386167,14.50933966,15.41612635,12.85602345,10.88146365,10.81792895,18.9088692,17.21170701,12.503564,13.22650481
AATK,0.285687723,0.625424478,0.721019611,0.611516262,0.182457959,0.216201808,0.565866816,0.097267862,0.408164341,0.242138421
ABALON,0.134571979,0.271389299,0.320834058,0.170243568,0.048393041,0.244315376,0.254219495,0.15151326,0.152987899,0.545886973
ABAT,0.32414298,0.712132672,2.181203153,1.078498635,0.447354194,2.227523697,0.744734757,0.434980201,1.097355317,0.549781113
ABCA1,2.30017632,10.41891505,4.602911005,5.512544842,1.49023988,3.632787813,4.80050119,2.616560572,2.844900958,3.135222638
ABCA10,0.732944516,0.13864744,0.306269966,0.267408236,0.124177137,0.084429899,0.070149495,0.030874094,0.296001095,0.070279979
ABCA11P,0.555831577,0.773660281,0.425839381,0.500765505,0.154036725,0.535009656,0.937431539,0.268694375,0.256131353,0.248225307
ABCA12,0.012087722,0.018282846,0.061336519,0.062362148,0.149965661,0.270273134,0.097940213,0.018372753,0.806712208,0.118978252
ABCA13,0.488562853,0.333941349,0.315768363,0.744159032,0.304172866,0,0.031704132,0.061977137,0.013875908,0.059802259
ABCA17P,0.190446894,0.221579657,0.165665381,0.104722195,0.284839739,0.111667693,0.085088268,0.228067328,0.144935904,0.09914975
ABCA2,1.548266678,11.24005855,8.83536275,4.380634507,2.860710702,4.526779773,3.58454538,1.737891564,4.884677455,3.451456365
ABCA3,8.73068858,7.330496418,13.0969892,9.703845178,14.34560757,13.42971517,2.845785722,9.103593824,4.883693657,3.922952619
ABCA4,5.518458466,1.307931823,0.39437265,0.066663248,0.044917428,0.059675927,0.451644716,0.144147288,0.222682178,0.496746169
ABCA5,1.291027121,1.265063412,3.365969361,2.177489529,1.012512262,0.403557888,1.363824531,0.563161129,1.401993753,0.958235177
ABCA6,0.233250066,0.270444162,0.611028806,0.269004928,0.232111731,0.425386756,0.058758841,0.028525307,0.415211168,0.118031537
ABCA7,3.26986962,6.552355798,7.928185685,3.5477558,3.687200353,1.827873921,1.436464907,1.922887427,4.823955103,3.330333081
ABCA8,0.05947529,0.1024717,0.302344824,0.306165484,0.215697606,0.796590024,0.057820775,0.012822633,0.261302732,0.023552254
ABCA9,0.594683114,0.508598809,0.626539313,0.301321242,0.157870006,0.356113922,0.095946023,0.003154937,0.33883664,0.09138113
ABCA9-AS1,0.014274831,0.004428898,0.011037643,0,0,0.008183985,0.020224904,0.009643135,0.008851808,0
ABCB1,0.561150523,1.867986658,1.406843202,2.019254455,0.496994138,1.534123563,0.182271459,0.218506859,1.267275232,0.459584747
ABCB10,4.924045401,7.035028203,9.192792636,5.680574042,4.839732351,4.806629488,6.496953331,5.751690397,5.447605746,7.06408768
ABCB11,0.002762036,0.030850101,0.025628074,0.01965477,0.005959487,0.052256116,0.011739946,0,0.005138207,0.003954393
ABCB4,0.529677391,0.210281067,0.775079952,0.2053475,0.126983838,0.414692347,0.171475824,0.050017167,0.466190506,0.26636903
ABCB5,0.009221507,0,0,0.026248259,0.013264478,0.005286835,0,0,0.002859124,0.072613107
ABCB6,0.847348141,1.160141623,1.784864247,1.51716701,0.843365338,1.410381196,1.391273268,1.19098737,1.011895175,0.96268835
ABCB7,6.989076009,10.83023712,7.15610893,7.908444247,3.410813195,9.252504293,10.58777117,6.339370896,5.213178544,7.825291744
ABCB8,3.485188262,3.730454998,3.621584681,2.494172662,3.16640081,3.737615919,7.039251112,3.508382355,6.826511434,3.619569215
ABCB9,0.912016841,1.807367733,0.96095009,2.650825305,0.937710587,1.226175289,0.658595208,0.971873601,0.649177,0.677385591
ABCC1,8.95894072,8.40346479,13.36439979,15.29518498,5.268186718,22.1377808,7.402388204,10.30755006,6.250732099,8.432663292
ABCC10,5.676466265,5.614465602,5.142485997,5.263116593,6.209342592,5.679318744,3.598571614,4.469592421,5.052386077,6.171454753
ABCC11,0.754073633,0.095045564,0.040996959,0.061485656,0.720295954,0.135100697,0.062600893,0.015918826,19.50039291,0.053417868
ABCC12,0.494213706,0,0.017705232,0,0.045288426,0,0,0,0.330126381,0
ABCC13,0,0,0,0.001888486,0.002863022,0.004564468,0.002820018,0.008067424,0.019747738,0
ABCC2,0.100449124,0.110495044,0.29655695,0.207941919,0.064034843,0.302342548,0.186793148,0.064772405,0.072197916,0.127470152
ABCC3,0.61709618,6.280983097,3.733126208,2.676892619,0.855718892,1.43298045,3.531858495,0.455857285,2.535471276,1.663170916
ABCC4,3.420799005,8.718749999,8.751859788,3.335447946,0.765568124,1.711875205,6.918099182,5.136760686,1.672164188,6.757562972
ABCC5,11.80360493,8.597551961,6.262436895,6.13060613,2.366492015,10.90364828,4.330221547,2.815001413,1.825224123,6.035413855
ABCC5-AS1,0.091005855,0,0,0,0.065452705,0.208700331,0.032234788,0,0,0.043430867
ABCC6,0.071522086,0.129638583,0.120064847,0.187509473,0.134013959,0.236316749,0.058000443,0.114431697,0.220586732,0.110481829
ABCC6P1,0.004146677,0.007719269,0.014428396,0.029507934,0.017894094,0.007132065,0.004406329,0.008403665,1.17253564,0.017810326
ABCC6P2,0,0,0.107250633,0.037601382,0.028502617,0.113603128,0.014037248,0.214172504,0.172022605,0.018912792
ABCC8,0.002099033,0.001953734,0.024345347,0.002987363,0.013586892,0.068594299,0,0,0.363148761,0.003005175
ABCC9,0.159450821,0.366395264,1.077834858,0.322668651,0.36822806,1.10127296,4.794485123,0.085834961,0.387004061,0.283572646
ABCD1,12.15685289,15.08814653,9.511720649,8.945051709,17.61488005,5.439729989,25.83615592,6.893212609,21.62745793,8.103360527
ABCD2,0.241758313,1.339525201,0.872943426,0.834213609,0.418286645,0.66686748,0.785230754,0.554658031,0.555813521,0.32979749
ABCD3,7.233777298,12.18569056,4.525286763,13.12816579,3.92341047,8.992010149,7.923991682,7.009798535,4.76256476,5.109200505
ABCD4,2.727335493,2.876814173,4.264099838,3.237333646,2.180913398,4.06021388,2.349867889,2.249031102,5.964033203,2.420410297
ABCE1,17.07724017,17.11472652,16.99907989,12.57885971,10.87268162,12.46354876,11.6311759,11.22023765,11.99776765,15.60599649
ABCF1,38.48245848,24.97407107,34.5786191,30.69708093,11.82963223,27.20765025,21.16803579,38.40146609,31.56952472,41.5757939
ABCF2,27.93313,24.78783107,21.67276406,15.55954157,13.76824436,17.52737914,40.58914931,29.31265855,17.64262087,15.70268973
ABCF3,22.75485434,15.45244076,18.52947204,13.87091304,7.793711427,13.14440334,16.93856083,10.7812174,15.7520536,11.83730094
ABCG1,3.258716317,10.95565171,10.41675062,10.61872003,2.437329998,15.64312288,8.434629091,2.826300274,5.491418265,2.871836819
ABCG2,0.284662359,0.325050808,1.637193434,1.282228075,0.189958656,0.403797257,0.071723733,0.06542135,0.545934539,0.184867858
ABCG4,0.068062105,0.014781828,0.123674051,0.009686658,0.024475617,0.007804214,0.004821596,0.018391308,0.033764193,0.038977662
ABCG5,0.053543409,0.003559787,0.048794096,0.010886207,0.03300787,0.039467925,0.020320048,0.038753996,0.028459039,0.043804466
ABCG8,0.042708439,0.014907024,0.018575545,0.007597878,0.011518694,0.009182031,0,0,0.089381673,0
ABHD1,0.150569154,0.085803927,0.203147459,0.214291333,0.179012442,0.047566096,0.156732084,0.087183937,0.188641018,0.140779796
ABHD10,10.13473653,16.39410743,8.242444729,10.01358041,14.0530923,14.06970791,11.39488552,10.78492546,11.23157037,9.864269834
ABHD11,19.34259403,25.25834195,6.437588245,16.63035707,20.49170077,24.47011376,26.63007513,68.53656955,55.09602851,9.005463342
ABHD12,27.88607116,28.58567787,26.74178795,33.03863706,30.05275563,33.06926426,19.56228603,22.946977,32.36387832,25.95290055
ABHD12B,0.05762612,0.020858875,0.003713158,0.086570329,0.02763035,0.016518979,0.102057486,0.012976136,0.00595565,0.018334002
ABHD13,2.742570033,3.726132232,8.420658655,4.760523066,5.58969536,3.26390427,4.874162026,4.051092164,2.731971798,9.005436669
ABHD14A,4.164072769,2.533765662,4.232875684,3.440004671,7.68078413,4.074922224,3.12788598,7.432553671,4.696818555,2.466902473
ABHD14A-ACY1,0.138064797,0.097910581,0.129631096,0,0.014185452,0.067846896,0.048903331,0.066619624,0.07338329,0.056476183
ABHD14B,19.17370426,11.04720807,18.04125592,12.26687105,23.06426196,16.20245115,13.75504599,17.94193561,21.46825313,11.44431514
ABHD15,3.921207166,6.108760243,5.935314206,5.851275448,3.666244362,4.952609327,3.240798716,2.367964121,7.154611962,3.714294326
ABHD16A,1.962969772,2.841074831,2.070109514,2.013620565,0.761334898,2.185988973,1.525280622,2.061977623,2.338876636,1.741156325
ABHD16B,0,0,0,0,0,0,0,0,0,0
ABHD17A,13.53662799,6.527369384,11.93715049,6.247005074,6.74550953,5.600343676,4.240657275,5.828590953,10.51088417,7.150246005
ABHD17B,3.091625842,6.33254631,6.435441884,4.885879637,3.039646636,4.846058351,2.937788595,2.923248391,5.706619236,5.334922075
ABHD17C,3.47541833,22.15830223,6.696961211,15.35234268,6.965506848,8.993289671,4.280756738,11.95610472,7.143948558,5.0880572
ABHD18,1.014823003,1.866707983,2.587936989,1.668905286,1.144469441,2.099807944,1.008495462,1.043868237,1.692153163,1.343085012
ABHD2,6.235509451,10.35839049,16.41992609,8.786352602,4.534123061,8.503630639,4.107977077,2.968305129,8.066713973,9.033670736
ABHD3,4.122187245,4.852920212,5.525621977,7.109645407,10.39883977,8.087579971,4.854694922,4.609577499,5.467968306,5.528482788
ABHD4,5.921611591,8.618951738,5.773419426,22.90998172,9.427923451,6.938209159,16.91594553,4.172634219,12.51813143,5.400057427
ABHD5,7.095683269,8.032279067,4.791196476,6.747320287,4.606533332,6.086670793,6.253142379,5.453904154,8.118631772,3.230026975
ABHD6,2.842278425,2.767290198,2.170131592,2.538800486,1.308634653,1.424980155,1.962953986,0.843539202,2.883410539,1.538038389
ABHD8,6.894743565,7.052629818,9.251167872,14.25630035,6.45893811,6.045557516,19.37307841,4.553261394,9.580780617,5.511632511
ABI1,24.76445221,21.61544939,23.30443369,32.56152668,32.20380168,23.86677288,22.8492145,27.54102641,18.8368073,36.23744697
ABI2,1.402540476,1.342914263,2.896263569,2.619240631,1.236787092,2.219311676,2.007454547,1.620163216,1.166172896,4.88819426
ABI3,33.8013012,15.51237872,11.60329955,17.25561265,6.999388642,9.764133339,15.59209558,10.85932423,16.47715797,12.51503937
ABI3BP,0.832018001,4.092866065,7.374317744,2.244692571,2.262172607,16.12245699,0.231357571,0.178597393,2.709856336,0.83495031
ABITRAM,5.648599437,8.916297316,7.305314731,7.326993341,4.986366499,8.437664316,6.281856578,5.687141941,9.711569736,7.511004704
ABL1,8.664203992,14.58859071,17.34527055,14.29256937,7.962911877,16.58633906,9.837855957,7.653877232,14.57029347,16.77300641
ABL2,2.669017676,4.644881047,3.55368055,3.946724125,4.309248715,3.527373266,2.415340482,2.664282439,2.641300237,4.720057594
ABLIM1,19.85127093,4.357343206,17.12147392,17.58165932,6.78258051,6.856887311,9.376264159,7.714302753,7.767665687,5.848035993
ABLIM2,0.178752008,0.612973002,0.965688827,0.471981575,1.776171527,0.635114541,1.234641939,0.314593526,0.691316122,0.158265268
ABLIM3,1.429616955,0.672659241,1.546209532,1.451715205,0.832757713,1.700207212,0.665406332,0.323248559,0.842545119,0.80066682
ABO,0.051499326,2.040339236,0.192177278,0.344164493,0.705352304,0.36970899,0.042827523,0.058990975,0.224931216,0.08655415
ABR,9.010955318,8.633745634,8.750228273,6.822078602,3.94825878,7.176562528,5.55583323,2.218678704,8.395088443,15.83217754
ABRA,0.005164156,0.004806681,0.011979148,0,0.022284805,0,0.010975039,0.010465689,0.028820588,0.007393494
ABRACL,52.15472226,45.01314516,44.07215806,46.33496126,36.40190383,74.9805069,42.40631417,80.15566576,102.9342104,35.10270879
ABRAXAS1,0.695172236,0.78156929,1.207306938,0.955528143,0.536818227,1.072946996,0.256601679,0.515337957,0.792952193,0.649547514
ABRAXAS2,6.733216596,11.55169777,8.349910396,16.74954953,5.817306061,11.26999223,5.44696811,8.258642418,6.625572505,15.78739599
ABT1,21.80160615,8.352280507,13.75945668,13.47143152,11.52320511,19.07656546,10.09412328,31.15017054,20.19346881,16.55635021
ABTB1,5.273036204,3.622333215,9.352243772,4.359864675,6.8942913,4.011363582,4.782035255,7.085155741,7.463590144,7.893886763
ABTB2,2.305884254,3.735993497,12.5460134,6.681587178,2.172824493,3.365686268,1.416658326,2.295969722,0.910082647,5.218219119
ACAA1,6.753238055,6.999504228,5.559253421,5.778728158,12.32903852,5.778335334,5.608127307,9.206588293,11.70264848,5.652662425
ACAA2,8.883615221,5.657786646,10.85661635,8.782799194,6.100728965,6.180247579,16.31039598,14.92242802,6.74718258,11.51382942
ACACA,5.453341148,9.679335527,5.91524063,4.218405067,2.116812341,6.886922391,5.335737129,2.772912792,5.092763442,4.932548548
ACACB,0.516908654,0.367920691,1.518731713,0.892015996,0.799971492,0.745659447,0.733757557,0.411473662,0.666006264,0.60243598
ACAD10,3.767488859,2.330876977,3.198265458,2.144769201,2.179162478,2.93170101,2.205677369,2.16303797,3.348740823,2.009311001
ACAD11,0.035104244,0.10035662,0.18903471,0.121333047,0.04328138,0.051752091,0.066611366,0.025407978,0.041981346,0.100517121
ACAD8,1.850295925,2.872202925,4.236876281,2.864799204,2.691471076,2.629837985,2.273828645,4.593823317,3.914327816,2.614987401
ACAD9,13.01725845,12.24165106,6.92542576,14.22578386,9.165919999,10.71663175,20.03753011,12.80058741,12.46580896,15.39802399
ACADL,0.09738021,0,0.105415407,0.027718473,0.119063294,0.00558296,0.034492621,0,2.222181514,0.334604956
ACADM,8.263285947,9.828672675,8.166113393,8.145058432,5.962326809,11.80274983,10.12088774,15.10068955,17.62984821,8.645039858
ACADS,7.15123411,3.59065239,5.184690957,4.320360477,11.97520026,7.938001404,7.844520692,6.805365676,9.405347045,4.315351968
ACADSB,1.887868323,4.456477169,4.648321081,4.243897587,1.27598767,6.141978993,2.665912306,1.926807808,1.447111432,3.533245114
ACADVL,64.32821954,37.24477733,59.30623049,40.05134993,37.3100197,20.69271285,37.60728358,37.39100278,41.12298991,49.70640868
ACAN,0.328682312,0.0704125,0.136149142,0.376825623,23.64492778,0.10543595,0.059596532,0.047579164,0.150435295,0.633032361
